chemical    a    b    c    t_min (celsius)    t_max (celsius)
trans-1-fluoro-1-tridecene    7.07484    1646.66    165.501    128.666    386.837
trans-1-fluoro-1-tetradecene    7.10946    1739.13    161.273    147.503    409.093
trans-1-fluoro-1-propene    6.66628    785.205    209.106    -57.7899    157.335
trans-1-fluoro-1-pentene    6.73282    939.521    199.824    -21.0619    206.189
trans-1-fluoro-1-pentadecene    7.13833    1830.29    157.017    166.287    431.492
trans-1-fluoro-1-octene    6.85859    1190.81    186.645    34.6343    275.555
trans-1-fluoro-1-octadecene    7.17714    2085.86    143.979    221.961    500.115
trans-1-fluoro-1-nonene    6.90382    1279.21    182.374    53.3516    298.034
trans-1-fluoro-1-nonadecene    7.16988    2161.29    139.507    240.149    523.649
trans-1-fluoro-1-hexene    6.77219    1020.76    195.352    -2.57751    229.725
trans-1-fluoro-1-hexadecene    7.16011    1919.19    152.723    184.985    454.092
trans-1-fluoro-1-heptene    6.81441    1104.58    190.965    15.989    252.815
trans-1-fluoro-1-heptadecene    7.17348    2004.76    148.38    203.557    476.948
trans-1-fluoro-1-eicosene    7.1506    2229.84    134.956    258.072    547.604
trans-1-fluoro-1-dodecene    7.03576    1553.76    169.714    109.808    364.666
trans-1-fluoro-1-decene    6.94912    1369.46    178.137    72.1299    320.331
trans-1-fluoro-1-butene    6.69721    860.982    204.401    -39.4646    182.1
trans-1-chloro-3-methyl-1-butene    6.6593    1049.56    184.772    17.7601    285.411
trans-1-chloro-2-methyl-1-butene    6.66837    1044.64    185.809    15.4224    279.955
trans-1-chloro-1-undecene    6.98081    1647.13    157.739    141.538    427.689
trans-1-chloro-1-tridecene    7.06641    1812.12    151.942    172.271    458.2
trans-1-chloro-1-tetradecene    7.10323    1888.81    149.33    186.393    471.951
trans-1-chloro-1-propene    6.64843    884.09    197.255    -26.2943    219.712
trans-1-chloro-1-pentene    6.71693    1056.84    186.997    14.6971    273.699
trans-1-chloro-1-pentadecene    7.13437    1960.42    146.889    199.643    484.797
