chemical    a    b    c    t_min (celsius)    t_max (celsius)
3,4-dimethyl-cis-3-hexene    6.97114    1397.57    219.676    14.3774    304.847
3,4-dimethyl-cis-2-pentene    6.88277    1236.38    219.695    -9.52445    268.956
3,4-dimethyl-cis-2-hexene    6.93583    1350.33    217.002    10.4858    296.863
3,4-dimethyl-6-ethylphenol    7.22336    1766.77    165    154.812    459.881
3,4-dimethyl-6-ethyloctane    6.92786    1537.21    181.835    77.4845    368.462
3,4-dimethyl-5-ethylphenol    7.22358    1767.51    165    154.933    460.095
3,4-dimethyl-5-ethyloctane    6.92786    1537.21    181.835    77.4845    368.462
3,4-dimethyl-5-ethylheptane    6.90696    1488.47    187.7    64.2851    356.285
3,4-dimethyl-4-propylheptane    6.87237    1516.13    181.835    76.3456    372.142
3,4-dimethyl-4-octanol    8.40583    2562.78    273    96.8782    343.342
3,4-dimethyl-4-isopropylheptane    6.82628    1510.46    181.835    77.4148    380.144
3,4-dimethyl-4-ethyloctane    6.87653    1529.7    181.835    78.4716    376.251
3,4-dimethyl-4-ethylheptane    6.84918    1463.14    187.7    62.4438    358.799
3,4-dimethyl-3,4-diethylhexane    6.78299    1529.01    181.835    82.5626    396.601
3,4-dimethyl-3-isopropyl-2-pentanol    8.26245    2453.22    273    88.5475    337.808
3,4-dimethyl-3-hexanol    7.66079    1704.75    204.643    51.2944    307.603
3,4-dimethyl-3-ethyloctane    6.87515    1525.18    181.835    77.763    374.881
3,4-dimethyl-3-ethylheptane    6.8546    1481.03    187.7    65.2685    364.365
3,4-dimethyl-2-thiapentane    6.95135    1365.93    207.565    76.5    324.386
3,4-dimethyl-2-pentanone    7.65753    1934.57    273    40.0165    313.541
3,4-dimethyl-2-pentanol    8.32314    2318.43    273    43.5896    314.547
3,4-dimethyl-2-hexanol    8.37846    2440.96    273    57.8216    330.145
3,4-dimethyl-2-ethylphenol    7.22336    1766.77    165    154.812    459.881
3,4-dimethyl-1,4-pentanediol    9.4059    3372.69    273    152.373    404.124
3,4-dimethyl-1-pentyne    6.81421    1163.29    215.748    -9.42012    266.308
3,4-dimethyl-1-pentene    6.86554    1190.58    217.986    -15.007    255.162
3,4-dimethyl-1-pentanol    7.89792    1925.12    218.712    60.3757    327.478
3,4-dimethyl-1-hexene    6.93555    1332.21    216.557    7.88918    289.859
3,4-dimethyl-1-hexanol    8.45082    2527.95    273    66.2844    340.116
3,4-dimethyl-(1-thiaethyl)-benzene    7.1609    1846.63    193.858    163.954    470.686
3,4-diethylphenol    7.27815    1933.6    165    181.574    507.646
3,4-diethylhexane    6.88347    1473.2    204.2    46    193
3,3'-dimethylbiphenyl    7.32993    2094.02    184.66    231.737    522.95
3,3,7-trimethylnonane    6.86815    1502.57    181.835    74.2198    368.033
3,3,6,6-tetramethyloctane    6.75597    1439.76    181.835    68.2976    368.461
3,3,6-trimethyloctane    6.84367    1445.25    187.7    59.6194    353.233
3,3,6-trimethylnonane    6.87237    1516.13    181.835    76.3456    372.142
3,3,6-trimethyl-4-heptanol    8.33673    2481.63    273    88.7733    334.413
3,3,5,6-tetramethyloctane    6.81527    1474.77    181.835    71.7684    369.122
3,3,5,5-tetramethyloctane    6.76595    1471.83    181.835    73.4266    378.581
3,3,5,5-tetramethylheptane    6.74142    1419.55    187.7    59.5463    365.671
3,3,5,5-tetramethyl-2-hexanol    8.1911    2457.87    273    93.0818    351.575
3,3,5-trimethyloctane    6.83947    1431.85    187.7    57.5012    349.059
3,3,5-trimethylnonane    6.861    1479.97    181.835    70.677    361.185
3,3,5-trimethylheptane    6.85524    1435.43    205.49    40    185
3,3,5-trimethylheptane    7.0502    1556.29    217.567    40    336.35
3,3,5-trimethyl-5-ethylheptane    6.77261    1493.81    181.835    76.9401    385.512
3,3,5-trimethyl-4-ethylheptane    6.82082    1492.61    181.835    74.5915    374.633
3,3,5-trimethyl-1-hexanol    8.35372    2549.56    273    97.7579    354.279
3,3,4,6-tetramethyloctane    6.81944    1488.15    181.835    73.8857    373.255
3,3,4,5,5-pentamethylheptane    6.7318    1505.1    181.835    80.7526    399.47
3,3,4,5-tetramethyloctane    6.8222    1497.08    181.835    75.2973    376.011
3,3,4,5-tetramethylheptane    6.79827    1444.37    187.7    61.403    362.895
3,3,4,4,5-pentamethylheptane    6.72801    1492.08    181.835    78.6529    395.285
3,3,4,4-tetramethyloctane    6.77261    1493.81    181.835    76.9401    385.512
3,3,4,4-tetramethylhexane    6.81164    1492.7    209.7    47    201
3,3,4,4-tetramethylhexane    6.98334    1603.4    220.822    47    373.55
3,3,4,4-tetramethylheptane    6.74664    1436.93    187.7    62.3465    371.31
3,3,4,4-tetramethyl-2-pentanol    8.13449    2379.92    273    84.4859    347.289
3,3,4-trimethyloctane    6.85054    1467.61    187.7    63.15    360.191
3,3,4-trimethylnonane    6.87791    1534.23    181.835    79.1803    377.62
3,3,4-trimethylhexane    6.85761    1403.88    212.56    27    169
3,3,4-trimethylhexane    7.00502    1492.7    221.465    26.85    329.15
3,3,4-trimethylheptane    6.86861    1466.8    205.9    44    191
3,3,4-trimethylheptane    7.00517    1552.26    214.453    44    348.95
3,3,4-trimethyl-5-ethylheptane    6.82356    1501.54    181.835    76.0031    377.388
3,3,4-trimethyl-4-ethylhexane    6.75429    1463.01    187.7    66.5472    379.769
3,3,4-trimethyl-4-ethylheptane    6.77654    1507.01    181.835    79.0484    389.67
3,3,4-trimethyl-2-pentanol    8.22677    2341.53    273    51.0075    328.9
3,3,4-trimethyl-1-pentene    6.7161    1184.86    203.936    3.3485    288.473
3,3,4-trimethyl-1-pentanol    8.29872    2404.74    273    56.4738    333.352
3,3,4-triethylhexane    6.88335    1552.33    181.835    82.0153    383.099
3,3-dimethylthiacyclopentane    6.93062    1384.11    214.893    65.8251    350.032
3,3-dimethylthiacyclohexane    6.91349    1466.94    209.735    88.82    383.869
3,3-dimethyltetrahydrofuran    6.92651    1250.12    210    19.4055    0.748
3,3-dimethylpentane    6.82667    1228.663    225.316    -14    111
3,3-dimethylpentane    7.04247    1359.48    240.607    -134.45    263.25
3,3-dimethyloctane    6.88895    1457.6    202.5    45    190
3,3-dimethyloctane    7.03178    1546.95    211.461    45    338.95
3,3-dimethylnonane    6.90178    1486.55    187.7    64.1817    356.232
3,3-dimethylhexane    6.85121    1307.882    217.439    6    138
3,3-dimethylhexane    7.06105    1441.06    232.763    -126.1    288.85
3,3-dimethylheptane    6.87553    1385.36    209.79    26    165
3,3-dimethyldecane    6.92976    1558.18    181.835    80.9371    375.22
3,3-dimethylcyclopentene    6.90975    1250.1    222.28    7.82922    286.20
3,3-dimethylcyclohexene    6.89122    1345.05    216.39    32.0447    326.62
3,3-dimethylbutanenitrile    6.81808    1233.06    177.176    53.6921    325.39
3,3-dimethylbutanal    7.04624    1299.61    208    25.3605    285.67
3,3-dimethyl-6-ethyloctane    6.86956    1507.09    181.835    74.9284    369.403
3,3-dimethyl-5-ethyloctane    6.86245    1484.49    181.835    71.3855    362.554
3,3-dimethyl-5-ethylheptane    6.84087    1436.31    187.7    58.2073    350.45
3,3-dimethyl-4,4-diethylhexane    6.78299    1529.01    181.835    82.5626    396.601
3,3-dimethyl-4-propylheptane    6.86956    1507.09    181.835    74.9284    369.403
3,3-dimethyl-4-isopropylheptane    6.81667    1479.23    181.835    72.4741    370.499
3,3-dimethyl-4-heptanol    8.35368    2457.32    273    84.3468    331.592
3,3-dimethyl-4-ethyloctane    6.87237    1516.13    181.835    76.3456    372.142
3,3-dimethyl-4-ethylheptane    6.84781    1458.67    187.7    61.7377    357.408
3,3-dimethyl-2-thiapentane    6.8912    1345.4    207.478    76.5    329.362
3,3-dimethyl-2-thiabutane    6.48522    1045.71    191.221    61.949    311.85
3,3-dimethyl-2-pentanone    7.58364    1898.06    273    37.8253    315.922
3,3-dimethyl-2-pentanol    8.36084    2372.16    285.873    36.3938    309.82
3,3-dimethyl-2-hexanol    8.29869    2345.13    273    48.3079    318.326
3,3-dimethyl-2-ethyl-1-butene    6.74521    1220.64    205.869    6.59367    295.069
3,3-dimethyl-2-ethyl-1-butanol    8.29873    2415.58    273    57.9586    336.084
3,3-dimethyl-2-butanone    6.91427    1312.9    219.202    2.78616    298.35
3,3-dimethyl-2-butanol    6.9491    1166.75    166.791    29.3307    293.25
3,3-dimethyl-1,5-pentanediol    9.48101    3261.16    273    134.447    371.479
3,3-dimethyl-1,2-butanediol    9.37241    3106.23    273    120.428    361.407
3,3-dimethyl-1-pentyne    6.7559    1113.24    217.282    -17.768    255.759
3,3-dimethyl-1-pentene    6.75306    1120.95    212.002    -17.1587    254.594
3,3-dimethyl-1-pentanol    7.32804    1459.8    163.249    67.4381    331.046
3,3-dimethyl-1-hexene    6.80242    1225.62    208.531    2.69523    282.468
3,3-dimethyl-1-hexanol    8.37088    2491.67    273    65.0419    343.477
3,3-dimethyl-1-butyne    6.73565    1009.76    224.226    -42.5991    218.005
3,3-dimethyl-1-butene    6.67751    1010.516    224.909    -47    64
3,3-dimethyl-1-butene    6.91634    1115.98    235.289    -115.2    206.85
3,3-dimethyl-1-butanol    7.35268    1458.46    183.141    46.4407    314.45
3,3-diiodopentane    6.60972    1385.4    147.83    122.092    479.845
3,3-difluoropentane    6.68142    973.534    195.852    -8.7887    227.096
3,3-diethylpentane    6.89262    1451.245    215.575    31    175
3,3-diethylpentane    7.09525    1578.99    228.471    -33.03    336.9
3,3-diethylhexane    6.88355    1490.9    206.2    47    196
3,3-dibromopentane    6.986    1367.33    166.073    82.1311    383.826
3-undecyne    7.12408    1720.43    205.45    83.7978    387.967
3-tridecyne    7.22981    1913.47    201.978    114.104    419.189
3-tetradecyne    7.27867    2002.64    200.367    127.798    432.434
3-tert-butylphenol    7.06984    1696.56    165    150.881    475.458
3-sec-butylphenol    7.18027    1727.74    165    150.206    459.849
3-propylthiophene    7.10649    1561.01    208.41    97.2808    379.842
3-propylphenol    7.19073    1698.11    165    144.21    457.18
3-propyl-1-hexanol    8.57324    2629.05    273    97.4908    339.496
3-picoline    7.0502    1481.77    211.21    74    185
3-phenylpentane    7.08638    1655.78    202.71    104.631    391.898
3-pentanone    7.23064    1477.021    237.517    36    102
3-pentanol    7.7147    1573.76    210.267    -69    273.85
3-pentanethiol    7.12107    1455.59    229.378    8.42122    306.85
3-pentadecyne    7.31941    2082.66    198.216    140.798    444.68
3-octyne    6.85797    1316.63    197.909    33.8175    327.51
3-octanol    8.10218    2103.25    228.117    68.0253    328.569
3-octadecyne    7.36877    2246.54    186.572    176.204    477.372
3-nonyne    7.0196    1519.18    209.96    50.0194    350.209
3-nonanol    8.57326    2662.36    273    102.184    347.253
3-nonadecyne    7.56665    2526.67    212.214    187.089    487.512
3-nitropentane    6.9789    1339.29    174.809    68.6198    337.85
3-nitrohexane    7.10036    1457.81    169.49    89.7577    365.846
3-nitrobenzotrifluoride    7.40372    1847.44    205.683    -1.15    393.85
3-nitro-3-methylpentane    6.97766    1389.95    169.424    83.27    366.19
3-nitro-2-methylpentane    7.0426    1415.62    170.297    84.06    361.594
3-methylundecane    7.04629    1632.18    181.835    88.1122    377.561
3-methyltridecane    7.06957    1744.28    167.72    119.661    411.985
3-methylthiophene    6.98611    1363.84    216.78    11    141
3-methylthiophene    7.09187    1423.77    222.653    11    341.85
3-methylthiacyclopentane    6.95225    1433.83    213.832    27.0558    373.051
3-methylthiacyclohexane    6.98187    1537.93    216.969    40.1299    395.194
3-methyltetrahydrofuran    6.99166    1430.57    210    49.4187    365.86
3-methyltetradecane    7.07838    1795.22    161.38    133.964    427.258
3-methylquinoline    7.3893    2057    203.951    127.12    497.837
3-methylpyridine    7.10475    1521.86    216.154    -18.14    371.85
3-methylpentanenitrile    6.93341    1326.1    174.222    68.8184    340.938
3-methylpentane    6.81887    1152.368    227.129    -29    89
3-methylpentane    7.07774    1282.36    242.278    -162.9    231.28
3-methylpentanal    7.18968    1421.93    208    40.9122    303.192
3-methylpentadecane    7.07487    1830.5    154.45    146.872    440.413
3-methyloctane    6.9092    1405.8    204.76    33    172
3-methyloctane    7.17567    1594.94    227.131    -107.6    317
3-methyloctadecane    7.04474    1934.56    137.6    182.44    479.746
3-methylnonane    6.92975    1479.1    197.5    52    197
3-methylnonane    7.17549    1649.33    216.241    -84.8    339.85
3-methylnonadecane    7.01404    1951.3    132.1    192.357    491.311
3-methylhexane    6.86764    1240.196    219.223    -8    117
3-methylhexane    7.08748    1370.78    234.008    -119.4    262.1
3-methylhexadecane    7.07706    1876.56    149.2    159.594    454.349
3-methylheptane    6.89944    1331.53    212.414    13    145
3-methylheptane    7.12293    1477.48    229.359    -120.55    290.52
3-methylheptadecane    7.0654    1909.43    143.3    171.506    467.442
3-methylfuran    6.99595    1133.72    210    -4.57238    255.447
3-methyldodecane    7.05661    1689.2    174.22    104.681    395.938
3-methyldiphenylmethane    7.20318    2010.7    185.945    224.222    509.216
3-methyldecane    7.02164    1563.99    187.7    72.0281    359.712
3-methylcyclopentene    6.87259    1165.6    227    -10    119
3-methylcyclopentene    7.24211    1452.03    262.926    -10    262.56
3-methylcyclohexene    6.91169    1297.95    219.531    19.3013    305.735
3-methylbutylamine    6.96096    1160.26    187.368    24.2107    271.75
3-methylbutyl butanoate    7.67441    2015.89    241.539    68.6805    345.85
3-methylbutanoic acid    7.69432    1822.54    203.53    -29.3    360.85
3-methylbutanenitrile    6.8899    1237.49    178.172    50.4523    320.148
3-methylbutanal    7.17084    1319.61    215    16.7663    271.47
3-methylbiphenyl    7.19885    1985.81    187.187    218.26    527.85
3-methyl-trans-3-hexene    6.9519    1279.99    220.868    -5.81227    270.844
3-methyl-trans-3-heptene    7.05483    1441.41    224.33    13.7298    299.745
3-methyl-trans-2-pentene    6.89621    1180.05    223.43    -23    247.85
3-methyl-trans-2-hexene    7.00139    1326.08    226.639    -5.67673    273.274
3-methyl-trans-2-heptene    7.05859    1448.35    224.68    14.3774    301.198
3-methyl-cis-3-hexene    6.92412    1264.07    217.231    -3.85456    273.602
3-methyl-cis-3-heptene    7.05483    1441.41    224.33    13.7298    299.745
3-methyl-cis-2-pentene    7.05827    1283.19    239.469    -134.84    241.85
3-methyl-cis-2-hexene    7.00901    1339.87    227.305    -4.32858    276.36
3-methyl-cis-2-heptene    7.05859    1448.35    224.68    14.3774    301.198
3-methyl-7-ethylnonane    6.98128    1565.7    181.835    79.9319    367.573
3-methyl-6-ethylphenol    7.17338    1670.67    165    140.177    449.219
3-methyl-6-ethyloctane    6.95851    1507.53    187.7    65.3036    352.464
3-methyl-6-ethylnonane    6.97984    1561.05    181.835    79.2174    366.219
3-methyl-5,5-diethylheptane    6.87376    1520.66    181.835    77.0543    373.511
3-methyl-5-propylphenol    7.25589    1850.66    165    168.037    483.817
3-methyl-5-propyloctane    6.97253    1537.81    181.835    75.6454    359.448
3-methyl-5-nonanol    8.55072    2732.05    273    113.231    361.243
3-methyl-5-isopropylphenol    7.17663    1744.1    165    153.403    464.856
3-methyl-5-isopropyloctane    6.9192    1509.69    181.835    73.2146    360.291
3-methyl-5-ethylthiophene    7.0991    1535.05    209.702    91.3399    368.638
3-methyl-5-ethylphenol    7.19089    1728.34    165    149.706    466.357
3-methyl-5-ethyloctane    6.9499    1479.93    187.7    61.0312    344.217
3-methyl-5-ethylnonane    6.974    1542.46    181.835    76.3598    360.803
3-methyl-4,5-diethylheptane    6.92786    1537.21    181.835    77.4845    368.462
3-methyl-4,4-diethylhexane    6.86124    1503.41    187.7    68.7997    371.323
3-methyl-4,4-diethylheptane    6.88064    1543.27    181.835    80.5978    380.359
3-methyl-4-tert-butylheptane    6.81105    1461.4    181.835    69.6513    364.988
3-methyl-4-propylphenol    7.26114    1869.74    165    171.153    489.304
3-methyl-4-propyloctane    6.97693    1551.75    181.835    77.7886    363.511
3-methyl-4-propylheptane    6.95423    1493.72    187.7    63.1673    348.341
3-methyl-4-octanol    8.5027    2546.72    273    89.4918    330.73
3-methyl-4-isopropylphenol    7.17063    1723.86    165    150.053    458.899
3-methyl-4-isopropyloctane    6.92356    1523.45    181.835    75.3495    364.377
3-methyl-4-isopropylheptane    6.89993    1465.77    187.7    60.7389    349.37
3-methyl-4-heptanol    8.43894    2425.81    271.744    54.3523    318.3
3-methyl-4-ethylphenol    7.18209    1699    165    144.861    457.643
3-methyl-4-ethyloctane    6.95851    1507.53    187.7    65.3036    352.464
3-methyl-4-ethylnonane    6.98272    1570.35    181.835    80.6464    368.928
3-methyl-4-ethyl-3-hexanol    8.35368    2472.92    273    86.6151    335.429
3-methyl-4-ethyl thiophene    6.97206    1535.05    209.702    91.3399    368.638
3-methyl-3,5-diethylheptane    6.87097    1511.61    181.835    75.637    370.772
3-methyl-3,4-hexanediol    9.4059    3372.69    273    152.373    404.124
3-methyl-3,4-diethylhexane    6.85594    1485.5    187.7    65.9747    365.757
3-methyl-3,4-diethylheptane    6.87653    1529.7    181.835    78.4716    376.251
3-methyl-3-pentanol    7.40879    1473.55    203.023    26.904    289.25
3-methyl-3-octanol    8.42446    2561.17    273    95.654    345.828
3-methyl-3-nonanol    8.47469    2695.41    273    112.192    364.171
3-methyl-3-hexanol    7.61898    1621.96    199.517    45.5292    300.433
3-methyl-3-heptanol    7.71862    1760.81    202.968    59.1108    316.516
3-methyl-3-ethylpentane    7.04885    1456.81    231.249    -90.87    303.35
3-methyl-3-ethyloctane    6.90687    1503.33    187.7    66.8052    361.348
3-methyl-3-ethylnonane    6.93115    1562.76    181.835    81.6486    376.582
3-methyl-3-ethyl-2-pentanol    8.29869    2345.13    273    48.3079    318.326
3-methyl-3-ethyl-1-pentene    6.83038    1274.67    210.736    7.88918    294.253
3-methyl-3-ethyl-1-pentanol    8.37086    2458.72    273    60.5726    335.328
3-methyl-3-butenoic acid    6.93888    1380.51    163.338    89.4204    398.221
3-methyl-2,4-pentanediol    6.80996    1158.1    83.2459    155.22    412.628
3-methyl-2,4-hexanediol    9.4909    3508.9    273    164.858    419.438
3-methyl-2,3-pentanediol    9.37249    3282.26    273    142.719    397.347
3-methyl-2-thiapentane    6.83558    1258.24    206.159    68.5    311.85
3-methyl-2-thiahexane    7.00711    1423.32    205.939    82    335.769
3-methyl-2-propylphenol    7.26114    1869.74    165    171.153    489.304
3-methyl-2-propylnaphthalene    8.04483    3196.57    306.748    147    539.195
3-methyl-2-pentene,trans    6.92634    1194.527    224.833    -23    94
3-methyl-2-pentene,cis    6.91073    1186.402    226.696    -26    91
3-methyl-2-pentanone    7.09264    1420.94    219.968    13.2536    306.75
3-methyl-2-pentanol    7.17326    1316.3    172.445    40.7812    304.85
3-methyl-2-octanol    8.50271    2551.5    273    90.172    331.863
3-methyl-2-nonanol    8.55074    2760.4    273    117.239    367.824
3-methyl-2-isopropylphenol    7.1575    1680.74    165    142.91    446.196
3-methyl-2-isopropylnaphthalene    7.89318    3035.91    293.423    147    544.392
3-methyl-2-isopropyl-1-butene    6.82481    1237.38    209.737    2.69523    281.74
3-methyl-2-isopropyl-1-butanol    8.37846    2451.95    273    59.3119    332.862
3-methyl-2-hexanone    7.72556    2000.88    273    47.2208    320.71
3-methyl-2-hexanol    8.03712    1995.65    235.031    48.558    309.658
3-methyl-2-heptanol    8.4637    2459.13    274.376    55.1022    320.192
3-methyl-2-ethylthiophene    7.09708    1557.53    208.41    97.1631    378.85
3-methyl-2-ethyl-1-pentene    6.91701    1311.24    213.37    8.23484    288.352
3-methyl-2-ethyl-1-pentanol    8.45081    2505.66    273    63.294    334.713
3-methyl-2-ethyl-1-hexanol    8.5301    2646.23    275.418    99.7749    347.855
3-methyl-2-ethyl-1-butene    6.90882    1239.76    221.419    -11.6047    262.673
3-methyl-2-ethyl-1-butanol    7.77355    1798.76    205.638    59.9179    323.366
3-methyl-2-butenoic    acid    6.727    1250.36    130.09    88.2367    427.872
3-methyl-2-butanol    6.89288    1154.86    176.346    -85.15    300.85
3-methyl-2-butanethiol    7.01231    1383.58    225.124    4.99971    305.85
3-methyl-1,trans-3-pentadiene    6.89766    1210.56    224.37    -1.04225    263.58
3-methyl-1,cis-3-pentadiene    6.89766    1210.56    224.37    -1.04225    263.58
3-methyl-1,6-hexanediol    9.6387    3279.47    273    128.818    354.832
3-methyl-1,5-pentanediol    9.61613    3511.8    273    158.477    408.855
3-methyl-1,4-pentadiene    6.91499    1143.89    228.55    -18.1936    228.675
3-methyl-1,3-pentanediol    9.45078    3172.18    273    124.832    364.108
3-methyl-1,3-butanediol    9.42897    3090.73    273    115.681    358.863
3-methyl-1,2-pentadiene    6.9164    1193.32    225.7    -6.31012    255.692
3-methyl-1,2-diphenylethane    7.24386    2088.85    182.76    239.842    519.237
3-methyl-1,2-butanediol    9.50761    3134.47    273    117.322    355.966
3-methyl-1,2-butadiene    6.9435    1103.901    230.89    -20    62
3-methyl-1,2-butadiene    6.9337    1119.33    235.331    -113.62    216.85
3-methyl-1,1-diphenylethane    7.18905    2034.7    184.28    231.981    513.174
3-methyl-1-pentyne    6.85717    1114.1    222.482    -26.373    239.667
3-methyl-1-pentene    6.75523    1086.316    226.204    -37    77
3-methyl-1-pentene    7.07154    1245.54    243.032    -152.95    221.85
3-methyl-1-pentanol    7.22812    1389.6    167.247    55.8706    330.05
3-methyl-1-octanol    8.57328    2691.68    273    106.315    354.083
3-methyl-1-nonanol    8.61879    2793.54    273    118.16    364.941
3-methyl-1-hexyne    6.88617    1210.72    217.275    -5.24181    269.119
3-methyl-1-hexene    7.05288    1319.14    232.284    -128.15    254.85
3-methyl-1-hexanol    7.42439    1506.24    159.509    74.9471    333.53
3-methyl-1-heptene    7.03175    1381.24    221.753    7.2414    284.108
3-methyl-1-heptanol    8.25743    2311.67    243.95    74.5755    343.752
3-methyl-1-butyne    6.8848    1014.81    227.11    -55    47
3-methyl-1-butyne    7.23284    1184.88    243.26    -89.7    190.05
3-methyl-1-butene    6.82618    1013.474    236.816    -63    41
3-methyl-1-butene    7.0492    1117.71    248.08    -168.49    177.22
3-methyl-1-butanol    7.50977    1559.43    205.685    -112.15    306.3
3-methyl-1-butanethiol    6.76876    1261.91    206.224    12.5243    330.85
3-methyl-(1-thiapropyl)-benzene    7.1742    1787.73    197.39    148.117    444.594
3-methyl-(1-thiaethyl)-benzene    7.1366    1740.11    199.152    139.616    445.801
3-methyl sulfolane    7.40961    2174.62    204.177    0.5    543.85
3-methoxypropionitrile    7.543    1855.32    232.101    -63.03    364.85
3-mercaptopropionic acid    7.89705    2241.03    218.905    17.5    455.85
3-isopropyl-2-methylhexane    6.76103    1441    204.7    45    197
3-isobutylphenol    7.18027    1727.74    165    150.206    459.849
3-isobutylphenol    7.18027    1727.74    165    150.206    459.849
3-iodopentane    7.5383    1509.41    179.083    69.9466    315.354
3-iodopentane    7.5383    1509.41    179.083    69.9466    315.354
3-iodohexane    7.57656    1610.11    174.886    89.09    337.442
3-iodo-trans-2-pentene    6.63748    1161.77    171.426    53.7078    355.654
3-iodo-cis-2-pentene    6.63748    1161.77    171.426    53.7078    355.654
3-iodo-3-methylpentane    7.44743    1510.28    177.282    75.6833    324.835
3-iodo-3-methyl-1-butene    6.53477    1095.72    172.634    44.0135    349.298
3-iodo-2-methylpentane    7.51703    1544.67    177.384    78.3593    324.294
3-iodo-2-methyl-1-propene    6.6172    1066.69    178.018    29.5067    320.958
3-iodo-2-methyl-1-butene    6.59887    1144.98    171.101    52.4515    357.366
3-iodo-2-ethyl-1-propene    6.65578    1149.14    174.061    47.8385    341.786
3-iodo-1-propene    6.9693    1316.5    220    20    142
3-iodo-1-propene    6.91697    1287.53    216.99    20    322.66
3-iodo-1-pentene    6.64805    1145.23    173.967    47.5073    342.278
3-iodo-1-butene    6.60308    1112.65    172.068    44.9944    352.275
3-hexyne    7.01524    1318.15    237.623    -103.1    270.85
3-hexene,trans    6.9178    1180.707    225.384    -26    90
3-hexene,cis    6.87854    1164.134    224.749    -27    90
3-hexanone    7.19422    1482.66    220.234    -55.65    309.67
3-hexanol    7.38185    1516.14    201.443    36.128    306.15
3-hexadecyne    7.34926    2150.63    195.292    153.093    455.998
3-heptyne    6.92415    1306.53    215.972    11.3291    301.436
3-heptanone    7.22074    1520.57    202.967    41.4679    327.01
3-heptanol    7.71058    1690.91    193.402    58.5748    312.679
3-heptadecyne    7.36546    2203.59    191.363    164.667    466.451
3-fluoropentane    6.93892    1115.98    222    -17.6756    216.944
3-fluorohexane    7.02066    1262.24    222    5.69559    250.582
3-fluoro-trans-2-pentene    6.68457    924.918    199.199    -21.5846    209.48
3-fluoro-cis-2-pentene    6.68457    924.918    199.199    -21.5846    209.48
3-fluoro-3-methylpentane    6.88491    1156.58    222    -8.12643    235.155
3-fluoro-3-methyl-1-butene    6.58229    866.995    200.859    -31.0325    200.741
3-fluoro-2-methylpentane    6.95154    1196.79    222    -3.38444    238.657
3-fluoro-2-methyl-1-propene    6.65918    879.599    200.949    -31.2096    200.269
3-fluoro-2-methyl-1-butene    6.64921    893.407    201.039    -28.3025    199.797
3-fluoro-2-ethyl-1-propene    6.70493    910.859    201.708    -27.4746    196.275
3-fluoro-1-propene    6.27804    722.052    215.542    -53    47
3-fluoro-1-pentene    6.69709    907.589    201.66    -27.7918    196.525
3-fluoro-1-butene    6.66211    830.235    206.283    -46.1607    172.193
3-ethylthiophene    7.05608    1457.84    213.16    75.1732    353.55
3-ethylthiacyclopentane    6.97127    1524.31    207.65    98.9735    398.388
3-ethylthiacyclohexane    6.96647    1485.42    209.78    89.3101    373.273
3-ethyltetrahydrofuran    6.99984    1342.8    210    33.1415    317.545
3-ethylquinoline    7.05246    1708.38    143.521    162.896    502.522
3-ethylpyridine    7.45184    1856.94    239.241    56.6518    384.55
3-ethylpentane    6.87564    1251.827    219.887    -7    118
3-ethylpentane    7.10931    1402.17    238.129    -118.6    267.49
3-ethyloctane    6.91845    1477.4    199.4    50    195
3-ethyloctane    7.11666    1601.8    211.642    50    340.45
3-ethylnonane    7.01883    1554.65    187.7    70.5982    356.979
3-ethylhexane    6.89098    1327.884    212.595    13    145
3-ethylhexane    7.05503    1420.12    221.671    -1.11    292.25
3-ethylheptane    6.90489    1406.5    206.5    32    171
3-ethylheptane    7.21986    1628.26    232.057    -114.9    316.85
3-ethylfuran    7.06575    1263.22    210    16.0345    283.112
3-ethyldiphenylmethane    7.24473    2073.51    183.608    235.816    513.027
3-ethyldecane    7.04446    1626.05    181.835    87.1797    375.81
3-ethylcyclopentene    6.95891    1297.63    220.424    16.2926    292.205
3-ethylcyclohexene    6.94064    1403.09    213.994    42.8171    336.425
3-ethylbiphenyl    7.26929    2065.34    184.668    231.039    527.85
3-ethyl-trans-2-hexene    7.05483    1441.41    224.33    13.7298    299.745
3-ethyl-o-xylene    7.10646    1715.42    211.994    -49.51    406.85
3-ethyl-cis-2-hexene    7.05483    1441.41    224.33    13.7298    299.745
3-ethyl-5-methylheptane    6.91593    1455.2    202.4    44    187
3-ethyl-5-methylheptane    7.04659    1535.39    210.362    44    333.45
3-ethyl-4-propylheptane    6.97547    1547.11    181.835    77.0742    362.157
3-ethyl-4-octanol    8.55068    2641.31    273    100.406    340.185
3-ethyl-4-methylhexane    6.8943    1404.3    209.5    29    168
3-ethyl-4-methylhexane    7.06079    1504.1    219.425    29    320.55
3-ethyl-4-methylheptane    6.88827    1466.8    203    46    192
3-ethyl-4-methylheptane    7.08435    1589.61    215.151    46    342.35
3-ethyl-4-isopropylheptane    6.92356    1523.45    181.835    75.3495    364.377
3-ethyl-3,4-dimethylhexane    6.86148    1470.4    207.3    44    192
3-ethyl-3,4-dimethylhexane    7.02629    1574.73    217.757    44    351.35
3-ethyl-3-pentanol    7.72429    1710.58    210.673    43.7159    300.019
3-ethyl-3-octanol    8.47466    2640.3    273    104.318    351.147
3-ethyl-3-methylpentane    6.86731    1347.209    219.684    10    145
